archlinux f303
debian f306
ubuntu f31b
fedora f30a
centos f304
opensuse f314
gentoo f30d
manjaro f312
nixos f313
linuxmint f30e
redhat f316
kali_linux f327
alpine f300
void f32e
freebsd f30c
tux f31a
raspberry_pi f315
endeavour f322
garuda f337
pop_os f32a
elementary f309
zorin f32f
apple f302
windows f0a35
hyprland f359
gnome f361
kde f373
xfce f368
i3 f35a
sway f35d
bspwm f355
awesome f354
dwm f356
qtile f35c
wayland f367
xorg f369
git e702
github e709
gitlab e7eb
docker e7b0
vim e62b
neovim e7c5
vscode e70c
sublime e7aa
linux e712
terminal e795
database e706
python e73c
javascript e781
typescript e8ca
rust e7a8
go e724
java e738
c e61e
cpp e61d
csharp e7b2
ruby e739
php e73d
lua e826
swift e755
kotlin e634
html5 e736
css3 e749
haskell e777
elixir e62d
clojure e768
scala e737
dart e798
r e881
react e7ba
vuejs e8dc
angular e753
nodejs e719
django e71d
flask e7dc
rails e73b
laravel e73f
nextjs e83e
svelte e8b7
tailwindcss e8ba
aws e7ad
kubernetes e81d
terraform e8bd
ansible e723
nginx e776
mysql e704
postgresql e76e
mongodb e7a4
redis e76d
cod_terminal ea85
cod_folder ea83
cod_folder_opened eaf7
cod_file ea7b
cod_gear eaf8
cod_settings eb52
cod_search ea6d
cod_home eb06
cod_gist_secret eafa
cod_lock ea75
cod_key eb11
cod_person ea67
cod_bell eaa2
cod_check eab2
cod_close ea76
cod_add ea60
cod_trash ea81
cod_edit ea73
cod_save eb4b
cod_star_full eb59
cod_heart eb05
cod_bug eaaf
cod_git_merge eafe
cod_git_commit eafc
cod_git_pull_request ea64
cod_source_control ea68
cod_error ea87
cod_warning ea6c
cod_info ea74
cod_play eb2c
cod_debug_start ead3
cod_link eb15
cod_globe eb01
cod_mail eb1c
cod_calendar eab0
fa_home f015
fa_user f007
fa_users f0c0
fa_search f002
fa_cog f013
fa_gear f013
fa_star f005
fa_heart f004
fa_bell f0f3
fa_envelope f0e0
fa_lock f023
fa_unlock f09c
fa_check f00c
fa_times f00d
fa_plus f067
fa_minus f068
fa_arrow_left f060
fa_arrow_right f061
fa_arrow_up f062
fa_arrow_down f063
fa_chevron_left f053
fa_chevron_right f054
fa_chevron_up f077
fa_chevron_down f078
fa_folder f07b
fa_folder_open f07c
fa_file f15b
fa_download f019
fa_upload f093
fa_trash f1f8
fa_edit f044
fa_save f0c7
fa_wifi f1eb
fa_battery_full f240
fa_bluetooth f293
fa_volume_up f028
fa_volume_off f026
fa_camera f030
fa_music f001
fa_video_camera f03d
fa_microphone f130
fa_calendar f073
fa_clock_o f017
fa_map_marker f041
fa_globe f0ac
fa_link f0c1
fa_paperclip f0c6
fa_print f02f
fa_share f064
fa_thumbs_up f164
fa_thumbs_down f165
fa_comment f075
fa_flag f024
fa_bolt f0e7
fa_fire f06d
fa_leaf f06c
fa_tree f1bb
fa_moon_o f186
fa_sun_o f185
fa_cloud f0c2
fa_umbrella f0e9
fa_shopping_cart f07a
fa_credit_card f09d
fa_gift f06b
fa_trophy f091
fa_gamepad f11b
fa_puzzle_piece f12e
fa_rocket f135
fa_bug f188
fa_terminal f120
fa_code f121
fa_database f1c0
fa_server f233
fa_cloud_upload f0ee
fa_cloud_download f0ed
fa_desktop f108
fa_laptop f109
fa_mobile f10b
fa_tablet ed2e
fa_keyboard_o f11c
fa_power_off f011
fa_refresh f021
fa_spinner f110
fa_check_circle f058
fa_times_circle f057
fa_exclamation_triangle f071
fa_question_circle f059
fa_info_circle f05a
fa_eye f06e
fa_eye_slash f070
fa_filter f0b0
fa_sort f0dc
fa_list f03a
fa_th_list f00b
fa_th f00a
fa_bars f0c9
fa_ellipsis_v f142
